Title,Company,Location,Date,Salary,Descriptions,Python,C++,Scala,Pandas,NumPy,Scikit-Learn,NLTK,TensorFlow,PyTorch,Keras,Machine Learning,Deep Learning,NLP,Computer Vision,Hadoop,Spark,SAS,SPSS,Docker,Kubernetes,K8S,Cloud Computing,Model Deployment,SQL,Data Warehousing,ETL Processes,Git,Linux,API Development,Tableau,Statistical Analysis,Data Mining,Data Visualization,Time Series Analysis,Business Analytics,Project Management,Agile Methodologies,A/B Testing,Data Driven,Consulting,Customer Relationship Management,Leadership,Collaboration,Teamwork,Communication,Presentation,Problem Solving,Critical Thinking,Adaptability
Data Scientist - Analog and Mixed Signal IPs and Systems,Apple,"Cupertino, CA",PostedPosted 4 days ago,NaN,summary posted mar role number hybrid hardware software role develop state art data science method apply machine learning statistical analysis explore examine visualize data collected early silicon chip system developed world premiere product apple work every single day craft product enrich people life love working challenge one solved yet like changing game opportunity forward thinking especially hardworking data scientist member dynamic group rare rewarding opportunity craft upcoming product surprise delight million apple customer every day key qualification key qualification proficiency data science machine learning statistical data analysis experience crafting conducting analyzing interpreting experimental data generate data driven insight help future design decision using large datasets capable driving project varying size scope take week month need know dive deep experience developing data science pipeline toolchains workflow python r matlab equivalent programming language year proven experience building data science driven solution solve business problem knowledge analog mixed signal circuit system collaborative mentality especially multifaceted diverse environment description description role develop tool method improve data analysis visualization processing analog mixed signal ip system using machine learning data science method work closely engineering team guarantee consistency validity insight generated across multiple ip system prototype generate insight raw unstructured historical data influence future ip system education experience education experience b electrical engineering physic statistic mathematics similar quantitative field year relevant industry experience equivalent advanced degree m phd preferred apple equal opportunity employer committed inclusion diversity also take affirmative action offer employment advancement opportunity applicant including minority woman protected veteran individual disability apple discriminate retaliate applicant inquire disclose discus compensation applicant additional requirement additional requirement pay benefit pay benefit apple base pay one part total compensation package determined within range provides opportunity progress grow develop within role base pay range role base pay depend skill qualification experience location apple employee also opportunity become apple shareholder participation apple discretionary employee stock program apple employee eligible discretionary restricted stock unit award purchase apple stock discount voluntarily participating apple employee stock purchase plan also receive benefit including comprehensive medical dental coverage retirement benefit range discounted product free service formal education related advancing career apple reimbursement certain educational expense including tuition additionally role might eligible discretionary bonus commission payment well relocation learn apple benefit note apple benefit compensation employee stock program subject eligibility requirement term applicable plan program,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Data Scientist,Apogee Solutions,"Fort Liberty, NC 28307",PostedToday,NaN,talented motivated individual want become part growing company winning team employee work across country leader delivering innovative solution nation highest priority defense homeland security initiative provide talented individual opportunity work latest tool technology perform important work contributes well nation join organization value people teamwork offer career growth training offer employee competitive compensation vacation benefit package including safe harbor company match k well fast paced exciting work environment nationwide opportunity ongoing commitment military spouse employment partnership woman defense demonstrates ongoing emphasis woman owned small business apogee solution equal opportunity affirmative action employer welcome encourage diversity workforce apogee solution woman owned small business seeking full time data scientist support office chief army reserve force management fort liberty qualified candidate must secret clearance office chief army reserve force management responsible fully develop force structure requirement conduct force integration organizational design plan conduct force accounting allocation authorization provide army reserve commander accessible readily deployable force apogee solution support force management fm process review study analysis assessment functional expertise encompassing conceptual development capability requirement generation force development organizational development force integration function force accounting resource within department defense data scientist extract analyze large data set multiple automated system provide business intelligence portrayal graphic data generate various form data analysis generate decision making support product automate various data analysis process cyclic machine learning process use information data set automated system conduct data science action data merging descriptive analysis diagnostic analysis predictive analysis prescriptive analysis required experience u citizen active dod secret clearance master degree data science minimum year experience planning analysis bachelor degree computer science mathematics related field minimum year experience proven ability extract analyze data sab based enterprise resource planning erp system ability portray analysis result powerpoint written report briefing advanced knowledge microsoft powerbi strong proficiency microsoft office suite especially microsoft excel ability work independently tight deadline time exceptional written verbal communication skill strong organizational skill high degree interpersonal competence initiative work variety personality demonstrated analytical problem solving skill apogee solution equal opportunity affirmative action employer welcome encourage diversity workforce apogee solution provides equal employment opportunity employee qualified applicant without regard race color religion national origin sex age disability pregnancy sexual orientation gender identity genetic information protected veteran status protected characteristic federal state local law apogee solution proudly support culture inclusion encourages work environment honor diverse opinion employee flourish know individual skill ability viewpoint honored diverse business united common goal best business delivering value good corporate citizen community business,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"Data Scientist - Search & Recommendation, Machine Learning",Faire,"Remote in San Francisco, CA",PostedPosted 28 days ago,"$133,000 - $183,000 a year",faire faire online wholesale marketplace built belief future local independent retailer around globe revenue walmart amazon combined faire using power tech data machine learning connect thriving community entrepreneur across globe picture favorite boutique town help discover best product around world sell store right tool insight believe level playing field small business everywhere compete big box e commerce giant supporting growth independent business faire driving positive economic impact local community globally looking smart resourceful passionate people join u power shop local movement believe community come join role faire using machine learning change wholesale help local retailer compete amazon big box store experienced data scientist machine learning engineer developing solution related discovery ranking search recommendation logistics underwriting goal helping local retail thrive data science team owns wide variety algorithm model power marketplace care building machine learning model help customer thrive member search data science team responsible developing machine learning powered search ranking model adding personalization search discovery determine answer question like relevant product retailer infer real time create real time embeddings user interest use power ranking improve purchase flow technique use enable b test quickly converge dealing low sample size team already includes experienced data scientist machine learning engineer uber airbnb square facebook pinterest faire soon known top destination data scientist machine learning help take u excited role able work cutting edge search query understanding problem combining wide variety data retailer brand product want use machine learning help local retailer independent brand succeed want foundational team member fast growing company like solve challenging problem related two sided marketplace qualification year industry experience using machine learning solve real world problem history accomplishment advancement data science career experience search query processing product development strong programming skill excitement willingness learn new tool technique experience relational database sql ability contribute team strategy lead model development without supervision strong communication skill ability work others closely collaborative team environment great have highly recommended master phd computer science statistic related stem field ability quickly implement state art algorithm academic paper salary range california new york pay range role per year colorado washington new jersey pay range role per year role also eligible equity benefit actual base pay determined based permissible factor transferable skill work experience market demand primary work location base pay range provided subject change may modified future faire flexible work model aim meet need diverse employee community making work flexible connected inclusive depending role need team faire employee flexibility choose work whether mainly office remotely mix role list country location eligible fully remote work country office work faire office country provided employee located registered country province state role city location eligible office hybrid office work city talent team work candidate determine location role eligible option love working faire entrepreneur faire built entrepreneur entrepreneur believe entrepreneurship calling mission empower entrepreneur chase dream every member team owner business taking part founding process using technology data level playing field leveraging power product innovation machine learning connect brand boutique world building growing community small business owner build product customer love everything ultimately service helping customer grow business goal grow pie steal piece running small business hard work using faire make easy curious resourceful inquisitive default explore every possibility test every assumption develop creative solution challenge hand lead curiosity data decision making reason first principle mentality faire founded team early product engineering lead square backed top investor retail tech including combinator lightspeed venture partner forerunner venture khosla venture sequoia capital founder fund dst global headquarters san francisco kitchener waterloo global employee presence across office salt lake city atlanta toronto london new york la sao paulo learn faire customer read blog faire provides equal employment opportunity eeo employee applicant employment without regard race color religion sex national origin age disability genetics sexual orientation gender identity gender expression faire committed providing access equal opportunity reasonable accommodation individual disability employment service program activity request reasonable accommodation please fill accommodation request form http bit ly faire form,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Data Scientist AI Developer,University of Michigan,"Ann Arbor, MI 48109",PostedPosted 7 days ago,"$79,000 - $100,000 a year",apply cover letter attached first page resume describing experience meet job requirement posting required consider position school nursing seek recruit retain diverse workforce reflection commitment serve diverse people michigan extends worldwide fulfill school strategic plan sustain excellence school nursing learn diversity equity inclusion visit http nursing umich edu diversity dei faculty staff please visit http www nursing umich edu information school visit http hwconnections com learn healthy lifetime program summary healthy lifetime program hl business entity within school nursing provides top class service older adult support optimum health independence aging program completely virtual including continuing education nurse provide service therefore program bound geographic location service provision business offer direct consumer programming integrates school nursing faculty provider student learner fulfill curricular requirement hl program also contract business entity support use program licensing contractual agreement healthy lifetime university michigan startup seeking hire highly motivated experienced data scientist manages audio data unstructured text candidate must able train advanced ai model build support cloud infrastructure training testing ai model develop back end service deploy front end application leveraging pre trained ai model full time term limited position due source salary funding one year support position end healthy lifetime program end target salary range position year please note higher salary may offered based equity selected candidate experience responsibility analyze manage visualize heterogeneous datasets comprising audio data unstructured text assessment rubric psychological treatment result therapeutic interview outcome using advanced computational data science statistical ml ai technique develop train test optimize ai model deliver insight complex datasets build maintain cloud infrastructure training testing ai model work closely development team build deploy user friendly front end application utilize trained ai model continuously monitor ai model performance troubleshoot challenge ensure optimal efficiency interact multiple team partner develop deep understanding user need translate technical solution follow data protection regulation maintain confidentiality sensitive information statement describe general nature level work performed exhaustive list associated responsibility supervision received director healthy lifetime program hl scientific collaboration associate director education training michigan institute data science required qualification bachelor science computer engineering master degree preferred data science computer science statistic related field five year experience similar role extensive experience working audio data unstructured text natural language processing text mining proficiency ai algorithm model focusing machine learning deep learning strong knowledge cloud computing preferably experience using popular service like aws gcp azure experience building deploying front end application strong programming skill especially python r java excellent problem solving skill algorithm development expertise attention detail ability work independently team attribute high degree initiative resourcefulness must reliably manage responsibility effectively meet deadline demonstrated project time management relationship building skill ability set priority handle multiple assignment display excellent judgment operating flexibly professionally strong ability multitask remain focused essential ability work independently minimal supervision maximum collaboration team environment working knowledge applicable university policy procedure including irb application preferred ability promote school nursing declaration value empower interrupt disrupt disrespect practice communication beneficial kind true inspire inspired member worth significance integrity cultivate respect others routinely publicly privately application deadline job opening posted minimum seven calendar day job may removed posting board filled time minimum posting period ended u eeo aa statement university michigan equal opportunity affirmative action employer job opening id working title data scientist ai developer job title bi analyst senior work location ann arbor campus ann arbor mi full part time full time regular temporary regular flsa status exempt organizational group school nursing department school nursing posting begin end date salary career interest administration engineering architecture information technology,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Sr.Data Scientist,Sky Consulting Inc,"Chicago, IL",PostedPosted 30+ days ago,NaN,responsible development implementation machine learning algorithm technique solve business problem optimize member experience primary duty may include limited design machine learning project address specific business problem determined consultation business partner work data set varying degree size complexity including structured unstructured data piping processing massive data stream distributed computing environment hadoop facilitate analysis implement batch real time model scoring drive action develops machine learning algorithm build customized solution go beyond standard industry tool lead innovative solution develop sophisticated visualization analysis output business user experience requirement b m phd statistic computer science mathematics machine learning econometrics physic biostatistics related quantitative discipline year experience predictive analytics advanced expertise software python combination education experience would provide equivalent background experience leading end end data science project implementation experience healthcare sector experience deep learning neural network required,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist (Data Management),US Immigration and Customs Enforcement,"Washington, DC",PostedToday,"$94,199 - $122,459 a year",duty data scientist data management full performance level perform following duty identifies collect data various source performing data cleaning wrangling conducting data analysis interpreting finding presenting result audience including office chief financial officer ocfo leadership coordinate stakeholder collect requirement develop new data product forecast model cost projection calculator interactive dashboard automated report performance outcome kpi visualization collaborates office chief information officer ocio investigate evaluate suitability emerging tool methodology technique work stakeholder develop strategic approach utilizing data build data product inform ocfo activity requirement condition employment must u citizen apply position must successfully pas background investigation must successfully pas drug screen male born must certify registration selective service requirement closing date unless otherwise noted must meet requirement closing date announcement probationary period full time permanent position career career conditional appointment upon appointment position may required serve one year probationary period qualification please limit resume page page submitted first page reviewed determine eligibility qualification describing experience please clear specific make assumption regarding experience copy paste duty specialized experience occupational assessment questionnaire announcement resume considered demonstration qualification position order qualify position must meet basic requirement minimum qualification listed basic requirement degree mathematics statistic computer science data science field directly related position degree must major field study least baccalaureate level appropriate position combination education experience course equivalent major field study semester hour shown paragraph plus additional education appropriate experience minimum qualification qualify g grade level posse one year specialized experience g grade level equivalent performing duty ensures statistical validity accuracy report develops new data product forecast model cost projection calculator interactive dashboard automated report performance outcome kpi visualization participates drafting data management strategy qualification requirement must met closing date announcement qualification claim subject verification national service experience e volunteer experience experience refers paid unpaid experience including volunteer work done national service program e g peace corp americorps organization e g professional philanthropic religious spiritual community student social volunteer work help build critical competency knowledge skill provide valuable training experience translates directly paid employment receive credit qualifying experience including volunteer experience current former political appointee office personnel management opm must authorize employment offer made current former political appointee currently within last year political schedule schedule c non career s presidential appointee employee executive branch must disclose information human resource office department homeland security encourages person disability apply include person intellectual severe physical psychiatric disability defined cfr u disabled veteran compensable service connected disability percent defined cfr veteran peace corp vista volunteer person disability posse wealth unique talent experience competency invaluable dhs mission member one group may compete public federal job determine eligibility non competitive appointment understand required documentation click link contact servicing human resource office listed bottom announcement additional information promotion potential promotion potential shown agency making commitment obligated provide future promotion selected future promotion dependent ability perform duty higher level continuing need employee assigned higher level administrative approval e verify dhs us e verify internet based system confirm eligibility newly hired employee work united state learn e verify including right responsibility suitability receive conditional offer employment position required complete optional form declaration federal employment sign certify accuracy information application prior entry duty false statement part application may result withdrawal offer employment dismissal beginning work fine imprisonment background investigation ensure accomplishment mission dhs requires every employee reliable trustworthy meet standard selected applicant must undergo successfully obtain maintain background investigation public trust condition placement position may include credit check review financial issue delinquency payment debt child support tax obligation well certain criminal offense illegal use possession drug benefit dhs offer competitive salary attractive benefit package including health dental vision life long term care insurance retirement plan thrift saving plan similar k flexible spending account employee assistance program personal leave day paid federal holiday benefit may include flexible work schedule telework tuition reimbursement transportation subsidy uniform allowance health wellness program fitness center dhs committed employee development offer variety employee training developmental opportunity information go dhs career website select benefit disabled veteran leave available federal employee hired november veteran service connected disability rating percent student loan repayment incentive may available case service agreement required benefit career u government provides employee comprehensive benefit package federal employee family access range benefit designed make federal career rewarding open new windowlearn federal benefit review benefit eligibility benefit depends type position hold whether position full time part time intermittent contact hiring agency information specific benefit offered evaluated evaluated job based well meet qualification review resume supporting documentation ensure meet minimum qualification requirement meet minimum qualification use assessment questionnaire place one three category based experience education training competency knowledge skill ability needed perform job data management oral communication organizational awareness planning evaluating meet minimum qualification placed one following category best qualified applicant possessing experience substantially exceeds minimum qualification position demonstrate high proficiency critical competency including selective placement factor spf appropriate quality ranking factor qrf determined job analysis well qualified applicant possessing experience exceeds minimum qualification position demonstrates acceptable proficiency critical competency including spf appropriate qrfs determined job analysis qualified applicant possessing experience meet minimum qualification position demonstrate basic proficiency critical competency including spf appropriate qrfs determined job analysis best qualified may referred hiring manager consideration may called interview interview may required position failure complete interview may result removal consideration veteran qualified veteran compensable service connected disability least listed best qualified category except position filled scientific professional g grade level higher position considered scientific professional point preference eligible veteran point preference meet eligibility qualification requirement placed non preference eligible within category qualify view information veteran preference interagency career transition assistance program ictap eligibles never worked federal government ictap eligible view information ictap eligibility opm career transition resource website considered eligible ictap must placed well qualified category position described addition must submit supporting document listed required document section job announcement pursuant executive order dhs drug free workplace plan ice committed maintaining drug free workplace therefore personnel safety security sensitive position testing designated position subject random drug testing moreover drug testing employee e g reasonable suspicion drug test may conducted order ensure safe healthy work environment applicant tentatively selected employment ice subject pre employment drug testing final offer employment contingent upon negative drug test result benefit career u government provides employee comprehensive benefit package federal employee family access range benefit designed make federal career rewarding open new windowlearn federal benefit review benefit eligibility benefit depends type position hold whether position full time part time intermittent contact hiring agency information specific benefit offered required document new existing federal employee family may access range benefit benefit depend type position whether permanent part time temporary intermittent employee may eligible following benefit however check agency make sure eligible policy resume showing relevant experience education training work experience must include job title duty employer name employer telephone number employer address starting ending date mm yy hour worked per week indicate whether may contact current supervisor please limit resume page page submitted first page reviewed determine eligibility qualification information see frequently asked question five page resume limit transcript submit copy college transcript unofficial acceptable list coursework hour completed education completed foreign college university may used meet federal qualification requirement show foreign education comparable education received accredited educational institution united state example specific course accepted college level credit accredited u college university foreign education evaluated organization recognized accreditation department education education equivalent gained accredited u college university responsibility provide evidence application see recognition foreign qualification information veteran must provide acceptable documentation preference appointment eligibility member copy dd certificate release discharge active duty preferable claiming point preference need submit standard form sf application point veteran preference applying based eligibility veteran opportunity work vow act must submit certification armed force discharged released active duty within day date certification must indicate date service rank confirm separated honorable condition view veteran information claiming special priority selection right interagency career transition plan ictap submit copy agency notice copy recent performance rating copy recent notification personnel action sf noting current position grade level duty location current former federal employee submit copy recent sf notification personnel action current former political schedule schedule c non career s presidential appointee employee submit copy applicable sf along statement provides following information regarding recent political appointment position title type appointment schedule schedule c non career s presidential appointee agency beginning ending date appointment relying education meet qualification requirement education must accredited accrediting institution recognized u department education order credited towards qualification therefore provide attendance degree school accredited accrediting institution recognized u department education failure provide required information stated vacancy announcement may result ineligible rating may affect overall rating apply apply position must complete occupational questionnaire http apply usastaffing gov viewquestionnaire submit required documentation outlined required document section complete initial application must submitted pm est please note material received closing date application evaluated solely information available may receive full consideration may considered eligible also provide valid email address may notified outcome application begin process click apply online button create account log existing usajobs account follow prompt complete occupational questionnaire please ensure click submit answer button end process application supporting documentation accepted mail email need assistance contact human resource office representative listed announcement least one day prior closing date instruction one position may filled using vacancy announcement applying announcement certifies give permission dhs share application others dhs similar position agency contact information megan taylor email megan k taylor dhs gov address chief financial officer th street washington dc u next step submit application ass experience training identify best qualified applicant refer application hiring manager consideration interview notify email step completed status also updated usajobs throughout process check status log usajobs account click application status click information expect make job offer within day deadline application selected conduct suitability security background investigation view information applying federal employment offer employment made pursuant announcement consistent applicable authority including presidential memoranda executive order interpretive u office management budget omb u office personnel management opm guidance office management budget plan policy concerning hiring authority subject change fair transparent federal hiring process set fair transparent please read following guidance equal employment opportunity eeo policy reasonable accommodation policy financial suitability selective service new employee probationary period signature false statement privacy act social security number request required document resume showing relevant experience education training work experience must include job title duty employer name employer telephone number employer address starting ending date mm yy hour worked per week indicate whether may contact current supervisor please limit resume page page submitted first page reviewed determine eligibility qualification information see frequently asked question five page resume limit transcript submit copy college transcript unofficial acceptable list coursework hour completed education completed foreign college university may used meet federal qualification requirement show foreign education comparable education received accredited educational institution united state example specific course accepted college level credit accredited u college university foreign education evaluated organization recognized accreditation department education education equivalent gained accredited u college university responsibility provide evidence application see recognition foreign qualification information veteran must provide acceptable documentation preference appointment eligibility member copy dd certificate release discharge active duty preferable claiming point preference need submit standard form sf application point veteran preference applying based eligibility veteran opportunity work vow act must submit certification armed force discharged released active duty within day date certification must indicate date service rank confirm separated honorable condition view veteran information claiming special priority selection right interagency career transition plan ictap submit copy agency notice copy recent performance rating copy recent notification personnel action sf noting current position grade level duty location current former federal employee submit copy recent sf notification personnel action current former political schedule schedule c non career s presidential appointee employee submit copy applicable sf along statement provides following information regarding recent political appointment position title type appointment schedule schedule c non career s presidential appointee agency beginning ending date appointment relying education meet qualification requirement education must accredited accrediting institution recognized u department education order credited towards qualification therefore provide attendance degree school accredited accrediting institution recognized u department education failure provide required information stated vacancy announcement may result ineligible rating may affect overall rating help job open career transition ctap ictap rpl federal employee meet definition surplus displaced employee public u citizen national owe allegiance u veteran clarification agency united state citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Sr. AI Engineer,The Judge Group,"King of Prussia, PA",PostedPosted 30 days ago,NaN,sr ai engineer responsible designing implementing ai based solution ideal candidate demonstrate high level technical expertise excellent planning coordination communication skill primary duty responsibility implement ai process across organization assist setting prem cloud infrastructure required implementing ai solution build ai model make prediction convert model apis process use collaborate data science team provide output ai product collaborate development team required achieve business result review business requirement provide recommendation architectural oversight needed recommend best practice standard ai product service application qualification least year overall software development experience writing software product service proven experience building enterprise level ai product service proven experience designing implementing using azure cloud service framework support ai product service proven experience machine learning model building experience nlp image processing experience azure speech azure ai vision custom vision azure document intelligence azure conversational ai service plus experience uipath plus ability work full life cycle software development project excellent programming skill c net related microsoft technology strong experience sql nosql database strong object oriented programming design skill demonstrated problem solving skill willing learn new technology deliver high quality software without compromise experience healthcare industry worker compensation plus excellent communication skill ability work across multiple team excellent documentation skill order plan create track sustain ai engineering work,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Data Scientist,Steneral Consulting,"Hybrid remote in Indianapolis, IN",PostedPosted 23 days ago,NaN,local candidate indiana job description resource generate query design report help identify workflow within people soft improve processing financial transaction may include p purchasing approval timeline employee volume work tracking invoice date po date contract process timeline include process held approval report enhance finance management oversight work process identify problem addressed report also help division management identify activity outside expectation report allow communication program area know contract request progress activity invoice processing outside expected timeline required skill skill required desired amount experience state indiana peoplesoft financials system required month experience generating query design report help identify workflow improve processing financial transaction required year oracle database experience required year experience management reporting kpi dashboard design required year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mathematical Scientist,Pit.AI Technologies Inc.,"San Jose, CA 95131 (North Valley area)",PostedPosted 1 day ago,"$150,000 a year",pit ai technology taking one exciting challenge time namely solving intelligence one competitive industry ever investment management team enjoys duality solving humongous research engineering problem remaining focused concrete shorter term breakthrough believe excellence humility trust inclusion every team member veto power hire adopt finance first approach machine learning research indulge blindly applying solution machine learning problem domain finance core research philosophy need place little assumption world behaves possible rather let data speak use mathematical rigor understand data truly saying backed combinator legendary renaissance technology first round capital co founder howard morgan prominent tech vcs david lee zal bilimoria name pit ai technology hiring mathematical scientist core effort solve intelligence investment management work closely ceo cto improve current generation ai quants role house mathematician role involved formulating fundamental question arising part investment process mathematical problem consistent research philosophy responsible solving mathematical problem role central research effort output expected critical impact bottom line short term long term ideal candidate typically love capable testing proving complex theorem conjecture prefers industry academia eager impatient see impact work real life never shy away finding closed form solution complex mathematical problem also gauge merit numerical method alternative appropriate much engineering role ideal candidate able write prototype quality python code test found mathematical result pit ai technology support publication methodological finding top machine learning venue strongly encourage applicant read blog post http bit ly jfav prior applying order get acquainted research philosophy work requirement ph post doc math top university research group emphasis stochastic analysis optimization functional analysis excellent graduate level understanding probability theory stochastic analysis functional analysis optimization evidenced instance french dea math cambridge part iii prior phd math strong intuition guide design reasonable conjecture geometry problem background knowledge prior attempting proof finance machine learning experience required,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Scientist,Phreesia Payment Services,Remote,PostedPosted 30+ days ago,"$140,000 - $165,000 a year",job description phreesia search experienced hand senior data scientist join growing data science team take part mission activate patient drive positive health outcome looking someone analytical technical skill take ownership business critical data science project entire lifecycle data exploration modeling analysis model selection validation evaluation deployment picture team smart humorous quick witted dedicated coworkers passionate turning large set data powerful insight improve patient outcome responsible planning building data product internal consumption near real time business intelligence tool predictive model role crunching number need organize complex data way tell compelling story drive critical decision making stakeholder across outside business looking part cutting edge clinical research platform exclusive phreesia may right opportunity leverage phreesia massive ever growing dataset design build data product provide actionable business insight use nlp technique parse process structure textual data develop method efficiently classify characterize patient population optimize targeted engagement strategy modeling forecasting evaluation navigate use diverse machine learning stack python r quickly prototype idea solve complex problem adapting creative approach take ownership data product ensure properly tracked throughout lifecycle participate strategic project planning reporting executive leadership build customized dashboard internal external stakeholder write clean well tested code stand test time expert communicator could summarize daily progress tweet bring advanced degree quantitative field data science computer science engineering mathematics statistic computational linguistics physic related required year experience operational data science role experience academic scientific research within healthcare clinical space required experience using nlp toolsets spark nlp nltk spacy excellent sql python skill experience using apache spark pyspark large data set experience using statistical principle inform decision making experimental design significance test b testing experience collaborating data scientist data engineer propose test validate evaluate deploy machine learning model experience using aws service including emr glue sagemaker redshift athena comparable service cloud provider experience one following knowledge graph vector similarity search large language model base pay u usd depending qualification phreesia looking smart passionate people help drive mission creating better engaging healthcare experience committed helping healthcare organization succeed ever evolving landscape transforming way healthcare delivered saas platform digitizes appointment check offer tool engage patient improve efficiency optimize staffing enhance clinical care phreesia care employee providing diverse dynamic work environment five time winner modern healthcare magazine best place work healthcare award recognized bloomberg gender equality index dedicated continuously improving employee experience launching new program initiative thrive culture recognition value inclusivity professional development growth opportunity phreesia could great fit top rated employee benefit remote work home office expense reimbursement competitive compensation equity grant employee flexible pto company holiday monthly reimbursement cell phone internet wellness paid week parental leave u employee well generous parental benefit employee canada variety insurance coverage people pet continuing education professional certification reimbursement strive provide diverse inclusive environment equal opportunity employer,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Data Scientist (ARNORTH HDP),CACI,"Fort Sam Houston, TX 78234 (Monte Vista area)",PostedToday,NaN,data scientist arnorth hdp job category engineering time type full time minimum clearance required start secret employee type regular percentage travel required type travel local get caci soas data scientist subject matter expert responsible researching presenting current future development data analytics big data large language model natural language processing computer vision etc explain senior officer staff importance data central emerging technology position support execution monthly design workshop hosted u army north g focused describing homeland defense operational environment monthly workshop responsible conducting senior leader presentation writing academic publication create document future homeland defense pertain field study assist expert requested document archived army north g integration experimentation assessment division staff workshop planner subject matter expert support expertise editing formatting document well assist establishment management project document repository ensuring adhere customer style guide formatting standard role direct access u army north staff graphic designer technical writer subject matter expert academia private industry formulate complete understanding current future homeland defense operational environment provide support army north g staff facilitate high quality production data used documentation emphasizing role emerging technology homeland defense assist planner designing drafting workshop vignette detailed scenario also assist compiling editing production action report aar lesson learned product bring qualification dod secret clearance required must u citizen posse ability effectively communicate orally writing three year experience database language including sql depth knowledge relational database theory ability describe apply database rule best practice two year experience distributed scalable big data storage including accumulo cloudbase hbase bigtable two year experience mapreduce programming apache hadoop hadoop distributed file system hdfs processing large data store two year experience using agile software development method devops environment two year experience real time large scale data processing engine including apache spark two year experience developing solution integrating extending free open source software fo cot product willing travel weekend must able attend scheduled design workshop qualification would nice experience intelligence operation analysis dod intelligence community experience deploying application cloud environment experience designing developing automated analytic software technique algorithm experience open source software including geowave mapreduce geo mrgeo ability work independently government oversight function effectively part team joint working environment offer caci special operation asymmetric solution operating group resides within caci operation support service sector premier provider special operation capability tactical advisory embedded support intelligence application law enforcement security cooperation oconus training support delivery company caci soas reputation uncompromising standard quality people performance joining caci soas team mark excellence employee complete rigorous mission focused staffing process caci soas mission place personnel government critical emerging challenge work u working team making difference across globe caci soas offer competitive benefit generous flex time well numerous learning development opportunity prime contractor effort caci soas offer unmatched stability growth potential within program company overview caci opportunity make immediate impact providing information solution service support national security mission government transformation intelligence defense federal civilian customer caci equal opportunity affirmative action employer qualified applicant receive consideration employment without regard race color religion sex sexual orientation gender identity national origin disability status protected veteran protected characteristic,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
